Name|Height|Weight|YearsPro|BirthDate|Position 
Mannix Barry|88|392|23|1991-05-02 07:22:35|K
Geoffrey Russell|90|430|27|1991-11-18 18:28:04|K
Kenneth Glass|78|249|6|1985-05-28 09:47:49|K
Hayes Kirk|93|239|15|1981-03-01 05:30:29|K
Blaze Walsh|96|402|1|1983-07-20 15:00:47|K
Colin Leonard|64|331|5|1985-08-16 12:16:53|K
Aaron Glass|84|198|18|1995-03-17 11:02:08|K
Cedric Mills|95|365|15|1992-03-24 09:46:10|K
Cadman Gordon|83|204|21|1990-01-29 13:03:48|K
Rigel Cooper|61|309|3|1988-07-13 18:39:21|K
Luke Reeves|64|356|15|1982-09-04 11:13:06|K
Xenos Hunter|85|186|25|1977-09-07 22:30:58|K
Levi Jones|73|297|3|1996-09-25 15:38:40|K
Steel Ochoa|92|211|4|1990-06-14 08:40:54|K
Reese Riddle|64|274|15|1982-03-31 15:49:16|K
Igor Carver|65|349|18|1995-03-29 00:08:09|K
Keith Tanner|92|328|6|1994-02-05 07:47:01|K
Octavius Browning|88|247|16|1995-10-29 12:19:05|K
Vernon May|66|370|30|1989-03-16 19:17:34|K
Moses Tucker|63|231|24|1991-12-15 21:56:12|K
Phelan Tanner|88|222|17|1982-05-15 20:14:09|K
Rudyard Wade|78|244|14|1998-01-16 20:35:43|K
Erich Sheppard|87|231|26|1983-04-27 05:11:26|K
Allistair Oneill|68|366|10|1995-11-04 13:21:28|K
Levi Beck|71|213|4|1987-04-02 04:04:17|K
Amery Gamble|62|300|2|1989-08-22 15:02:20|K
Emmanuel Wood|82|240|9|1978-02-11 03:11:44|K
Otto Vasquez|71|172|18|1990-10-02 15:51:47|K
Nathaniel Livingston|76|169|26|1981-09-07 16:25:41|K
Jonas Justice|75|225|12|1980-08-25 05:53:54|K
Kenneth Mathews|94|403|15|1991-02-18 09:25:29|K
Brett Moss|75|256|11|1988-02-08 14:29:46|K
Samson Donaldson|90|375|14|1994-02-21 14:47:00|K
Tyler Dale|73|425|14|1982-07-23 09:48:17|K
Slade Powell|76|193|3|1993-11-19 17:04:30|K
Aladdin Sanchez|92|374|16|1990-11-01 03:35:47|K
Luke Vance|69|286|22|1992-02-03 03:31:00|K
Xanthus Powell|72|254|17|1979-07-23 09:33:41|K
Oren Ingram|73|397|21|1986-05-31 19:07:05|K
Kareem Hobbs|91|450|17|1978-10-22 03:02:41|K
Jakeem Russell|76|402|22|1993-04-15 01:38:18|K
Colt Doyle|88|381|5|1991-04-19 06:05:28|K
